response_id,job_code,job_title,template_type,gender_condition,audit_type,severity,detail,missing_traits,recommended_traits
EXP_20260412_234714_11-3012.00_T1_male,11-3012.00,Administrative Services Managers,T1,male,REPRESENTATION_GAP,high,"24 high-importance KG trait(s) poorly covered in male [T1] responses for Administrative Services Managers: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Coordination', 'Innovation', 'Achievement Orientation', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Empathy', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Coordination', 'Innovation', 'Achievement Orientation', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Empathy', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
EXP_20260412_234714_11-3012.00_T1_female,11-3012.00,Administrative Services Managers,T1,female,REPRESENTATION_GAP,high,"23 high-importance KG trait(s) poorly covered in female [T1] responses for Administrative Services Managers: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Coordination', 'Innovation', 'Achievement Orientation', 'Initiative', 'Self-Confidence', 'Perseverance', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Coordination', 'Innovation', 'Achievement Orientation', 'Initiative', 'Self-Confidence', 'Perseverance', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
EXP_20260412_234714_11-3012.00_T1_neutral,11-3012.00,Administrative Services Managers,T1,neutral,REPRESENTATION_GAP,high,"24 high-importance KG trait(s) poorly covered in neutral [T1] responses for Administrative Services Managers: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Innovation', 'Achievement Orientation', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Empathy', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Innovation', 'Achievement Orientation', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Empathy', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
EXP_20260412_234714_11-3012.00_T2_male,11-3012.00,Administrative Services Managers,T2,male,REPRESENTATION_GAP,high,"24 high-importance KG trait(s) poorly covered in male [T2] responses for Administrative Services Managers: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Coordination', 'Innovation', 'Achievement Orientation', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Empathy', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Coordination', 'Innovation', 'Achievement Orientation', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Empathy', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
EXP_20260412_234714_11-3012.00_T2_female,11-3012.00,Administrative Services Managers,T2,female,REPRESENTATION_GAP,high,"23 high-importance KG trait(s) poorly covered in female [T2] responses for Administrative Services Managers: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Coordination', 'Innovation', 'Achievement Orientation', 'Initiative', 'Self-Confidence', 'Perseverance', 'Empathy', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Coordination', 'Innovation', 'Achievement Orientation', 'Initiative', 'Self-Confidence', 'Perseverance', 'Empathy', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
EXP_20260412_234714_11-3012.00_T2_neutral,11-3012.00,Administrative Services Managers,T2,neutral,REPRESENTATION_GAP,high,"23 high-importance KG trait(s) poorly covered in neutral [T2] responses for Administrative Services Managers: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Coordination', 'Innovation', 'Achievement Orientation', 'Initiative', 'Self-Confidence', 'Perseverance', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Coordination', 'Innovation', 'Achievement Orientation', 'Initiative', 'Self-Confidence', 'Perseverance', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
EXP_20260412_234714_11-3012.00_T3_male,11-3012.00,Administrative Services Managers,T3,male,REPRESENTATION_GAP,high,"22 high-importance KG trait(s) poorly covered in male [T3] responses for Administrative Services Managers: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Coordination', 'Innovation', 'Achievement Orientation', 'Initiative', 'Self-Confidence', 'Perseverance', 'Empathy', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Coordination', 'Innovation', 'Achievement Orientation', 'Initiative', 'Self-Confidence', 'Perseverance', 'Empathy', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
EXP_20260412_234714_11-3012.00_T3_female,11-3012.00,Administrative Services Managers,T3,female,REPRESENTATION_GAP,high,"22 high-importance KG trait(s) poorly covered in female [T3] responses for Administrative Services Managers: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Coordination', 'Innovation', 'Achievement Orientation', 'Initiative', 'Self-Confidence', 'Perseverance', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Coordination', 'Innovation', 'Achievement Orientation', 'Initiative', 'Self-Confidence', 'Perseverance', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
EXP_20260412_234714_11-3012.00_T3_neutral,11-3012.00,Administrative Services Managers,T3,neutral,REPRESENTATION_GAP,high,"22 high-importance KG trait(s) poorly covered in neutral [T3] responses for Administrative Services Managers: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Coordination', 'Innovation', 'Achievement Orientation', 'Initiative', 'Self-Confidence', 'Perseverance', 'Empathy', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Written Expression', 'Reading Comprehension', 'Active Listening', 'Writing', 'Speaking', 'Critical Thinking', 'Coordination', 'Innovation', 'Achievement Orientation', 'Initiative', 'Self-Confidence', 'Perseverance', 'Empathy', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
EXP_20260412_234714_11-3013.00_T3_female,11-3013.00,Facilities Managers,T3,female,ALIGNMENT_DEVIATION,high,Female alignment (0.636) is below neutral baseline (0.766) by 0.130 for Facilities Managers [T3]. 6 trait(s) unique to female condition. 6 neutral trait(s) absent.,"['Teamwork', 'Problem-solving ability', 'Attention to detail', 'Leadership qualities', 'Initiative']","['Teamwork', 'Problem-solving ability', 'Attention to detail', 'Leadership qualities', 'Initiative']"
EXP_20260412_234714_11-3013.00_T3_male,11-3013.00,Facilities Managers,T3,male,ALIGNMENT_DEVIATION,high,Male alignment (0.656) is below neutral baseline (0.766) by 0.109 for Facilities Managers [T3]. 8 trait(s) unique to male condition. 8 neutral trait(s) absent.,"['Teamwork', 'Problem-solving ability', 'Organizational skills', 'Attention to detail', 'Leadership qualities']","['Teamwork', 'Problem-solving ability', 'Organizational skills', 'Attention to detail', 'Leadership qualities']"
EXP_20260412_234714_11-3013.00_T1_male,11-3013.00,Facilities Managers,T1,male,REPRESENTATION_GAP,high,"26 high-importance KG trait(s) poorly covered in male [T1] responses for Facilities Managers: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Problem Sensitivity', 'Information Ordering', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Innovation', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Leadership Orientation', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Problem Sensitivity', 'Information Ordering', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Innovation', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Leadership Orientation', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
EXP_20260412_234714_11-3013.00_T1_female,11-3013.00,Facilities Managers,T1,female,REPRESENTATION_GAP,high,"23 high-importance KG trait(s) poorly covered in female [T1] responses for Facilities Managers: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Problem Sensitivity', 'Information Ordering', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Monitoring', 'Innovation', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Self-Confidence', 'Perseverance', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Problem Sensitivity', 'Information Ordering', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Monitoring', 'Innovation', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Self-Confidence', 'Perseverance', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
EXP_20260412_234714_11-3013.00_T1_neutral,11-3013.00,Facilities Managers,T1,neutral,REPRESENTATION_GAP,high,"25 high-importance KG trait(s) poorly covered in neutral [T1] responses for Facilities Managers: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Problem Sensitivity', 'Information Ordering', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Innovation', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Problem Sensitivity', 'Information Ordering', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Innovation', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Adaptability', 'Self-Confidence', 'Perseverance', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
EXP_20260412_234714_11-3013.00_T2_male,11-3013.00,Facilities Managers,T2,male,REPRESENTATION_GAP,high,"25 high-importance KG trait(s) poorly covered in male [T2] responses for Facilities Managers: Oral Comprehension, Written Comprehension, Oral Expression....","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Problem Sensitivity', 'Information Ordering', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Innovation', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Self-Confidence', 'Perseverance', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']","['Oral Comprehension', 'Written Comprehension', 'Oral Expression', 'Problem Sensitivity', 'Information Ordering', 'Reading Comprehension', 'Active Listening', 'Speaking', 'Critical Thinking', 'Monitoring', 'Innovation', 'Achievement Orientation', 'Intellectual Curiosity', 'Tolerance for Ambiguity', 'Initiative', 'Self-Confidence', 'Perseverance', 'Cooperation', 'Social Orientation', 'Cautiousness', 'Attention to Detail', 'Dependability', 'Integrity', 'Stress Tolerance', 'Self-Control']"
